name,type
Brócolis,Vitamina C
Caju,Vitamina C
Couve,Vitamina C
Escarola,Vitamina C
Espinafre,Vitamina C
Goiaba,Vitamina C
Kiwi,Vitamina C
Laranja,Vitamina C
Limão,Vitamina C
Manga,Vitamina C
Melão,Vitamina C
Morango,Vitamina C
Pimentão,Vitamina C
Repolho,Vitamina C
Tomate,Vitamina C
Umbu,Vitamina C
Abacate,Vitamina E
Amêndoas,Vitamina E
Avelã,Vitamina E
Castanhas,Vitamina E
Cereais integrais,Vitamina E
Gema de ovo,Vitamina E
Gérmen de trigo,Vitamina E
Leite,Vitamina E
Nozes,Vitamina E
Óleos vegetais,Vitamina E
Vegetais Folhosos,Vitamina E
Batata frita,Gordura Trans
Biscoito cream craker,Gordura Trans
Biscoito recheado,Gordura Trans
Bolos industrializados,Gordura Trans
Caldo de carne em cubos,Gordura Trans
Folhados,Gordura Trans
Margarinas,Gordura Trans
Salgadinhos industrializados,Gordura Trans
Sorvete,Gordura Trans
Tortas,Gordura Trans
Produtos de confeitaria,Gordura Trans
Produtos de panificação,Gordura Trans
